1941-09-01	ВО	Московский ВО		201, 322, 324, 326, 328, 330, 332 сд, 27, 41 кд, особый окп	524, 594 пап, 110, 138, 318, 403, 440, 486, 537, 590 гап б/м РВГК, 881, 882, 883 ап РВГК, 514, 521, 530, 551, 569, 582, 591, 877 ап ПТО, 32, 40, 226, 228, 233 оад о/м РВГК, 1, 2, 3, 4, 5, 6, 7, 8, 9 гв. мп; 1 корпус ПВО, Калининский, Тульский, Горьковский, Ярославский бригадный район ПВО	1, 2, 5, 6, 7, 8, 9, 142 тбр, 14, 46 мцп, 51, 113, 114, 115, 116, 119 отб	6 иак ПВО, 77 сад	5, 135, 136 миб, 466, 467, 468 осб, 539 мсб
1941-09-01	ВО	Приволжский ВО		334, 336, 338, 340, 342, 344, 346, 348, 350, 352, 354, 356, 358, 360 сд; 46, 89, 91 кд	5, 137, 191, 430, 527 гап б/м РВГК, 317, 322, 328, 329, 330, 331 оад РВГК; 89, 90, 91 озад			490, 491, 492, 493, 494 осб
1941-09-01	ВО	Орловский ВО		323, 325, 327, 329, 331 сд, 29, 31 кд	765, 885 ап ПТО; Воронежский бригадный район ПВО, 46 озад			511, 512, 513, 514, 515 осб
1941-09-01	ВО	Уральский ВО		355, 357, 359, 361, 363, 365, 367, 369, 371, 373, 375, 377, 379, 381 сд, 74, 76, 78, 80, 82, 94 кд				449, 450, 451, 452, 453 осб
1941-09-01	ВО	Сибирский ВО		49 кд;362, 364, 366, 368, 370, 372, 374, 376, 378, 380, 382, 384 сд, 73, 75, 77, 87 кд
1941-09-01	ВО	Харьковский ВО		240, 383, 393, 395, 411 сд	4, 168, 330, 515 гап б/м РВГК, 245 оад о/м РВГК; Донбасский бригадный район ПВО	43, 44 тд, 3, 4, 12 тбр, 31, 32 тп, 26 мцп	49, 75, 76 сад, 40, 446 иап	516-523, 527-530, 532-536, 540 осб
1941-09-01	ВО	Северокавказский ВО		157 сд, 302 гсд, 35, 38, 56 кд,337, 339, 343, 353 сд, 66, 68 кд	526 гап б/м РВГК, 34, 315, 316 оад о/м РВГК; Новороссийский бригадный район ПВО	40 тд, 8 отд. д-н бронепоездов	65 иад, 73 сад
1941-09-01	ВО	Среднеазиатский ВО	53 армия
1941-09-01	ВО	Среднеазиатский ВО		58 ск (68, 83 гсд, 238 сд), 4 кк (18, 20, 44 гкд), 39 кд, 72 огсп	123, 450 кап, 9 оминб, 143, 187, 189, 211 озад	отб 	4 сабр
1941-09-01	ВО	Архангельский ВО		263 сд	310 пап РВГК; Архангельский бригадный район ПВО		134 сад
1941-09-01	НДФ	ЗакФ	44 армия	20, 77 гсд, 17 кд	220 озад		36, 265 иап	205 осб
1941-09-01	НДФ	ЗакФ	45 армия	138 гсд, 31, 136 сд, 236 сд (180 сп), 55 УР	25 кап, 337 гап РВГК, 443 зенап, 31, 381 озад		72 сад	132 миб, 10 осб
1941-09-01	НДФ	ЗакФ	46 армия	9, 47 гсд, 4, 224 сд, 51 УР	457, 647 кап, 547 гап РВГК, 151, 365, 388 озад	7 отд. д-н бронепоездов	27 иад	75 оиб, 51 осб
1941-09-01	НДФ	ЗакФ	47 армия	63, 76 гсд, 236 сд, 77 гсд (324 гсп), 1, 23, 24 кд	456 кап, 116 гап РВГК, 224, 511 озад	6, 54 тд, 24 отп, 13 мцп, арм. отб	71 сад	61 миб, 6, 54 пмб
1941-09-01	НДФ	ЗакФ		317 сд, 386, 388, 390, 392, 394, 396, 398, 400, 402, 404, 406, 408, 409 сд	136, 350 гап б/м РВГК; 3 корпус, 8 бригада ПВО, Тбилисский бригадный район ПВО, 45, 380 озад		8 иак ПВО, 26, 132, 133, 134 бад, 25, 135 сад, 35, 68, 270, 347 иап
1941-09-01	ВО	Забайкальский ВО	17 армия	36, 57, 82 мсд	185 пап РВГК; 2 бригадный район ПВО	61 тд, 9 мотобронебригада, 30 мцп		84 мпб
1941-09-01	ВО	Забайкальский ВО	36 армия	65, 93, 94, 114 сд, 51 кд, 31, 32 УР	267, 390 кап, 14 оминб; 1 бригадный район ПВО	111 тд, 33, 35 отб		39 осб
1941-09-01	ВО	Забайкальский ВО			106, 216, 413 гап РВГК, 13 оминб; 3 бригадный район ПВО		37 сад, 2 сабр, 318 рап	51, 102 оиб, 1, 15 пмб
1941-09-01	НДФ	ДФ	1 армия	26, 59 ск, 22, 39, 59, 239 сд, 8 кд, 6 сбр, 105 УР	165, 199 гап РВГК, 50, 273 кап, 115, 129 озад; 4 бригадный район ПВО	58, 112 тд, 3 отд. д-н бронепоездов	33 бад, 32, 34, 83 сад, 26, 59 каэ, 137 раэ	29 оиб
1941-09-01	НДФ	ДФ	2 армия	3, 12, Свободненская сд, 101, Усть-Бурейский УР	42 кап, 114, 411, 550 гап РВГК, 22 оминб; 1 бригадный район ПВО	301, 356, 362 отб, 2 отд. д-н бронепоездов, 5 отд. д-н бронедрезин	95 иад, 82 бад	2 тпмп, 10, 29 пмб
1941-09-01	НДФ	ДФ	15 армия	34 сд, 202 вдбр, 102 УР	52 кап; 2 бригадный район ПВО	60 тд	69 сад, 251 дес. бап, 140 раэ	3 тпмп, 11, 23, 24 пмб, 129 осб
1941-09-01	НДФ	ДФ	25 армия	39 ск, 32, 40, 92, 105 сд, 2 сбр, окп, 106, 107, 108, 110, 111 УР	282, 548 кап, 215, 386, 549 гап РВГК, 21 оминб; 5 бригадный район ПВО	9 отд. д-н бронепоездов	70 сад, 39 каэ, 138 раэ	32 оиб, 100 миб, 69 осб
1941-09-01	НДФ	ДФ	35 армия	35, 66, 78 сд, 109 УР	76, 187 кап, 362, 367 оад, 110 озад; 3 бригадный район ПВО	29 мцп, отд. д-н бронепоездов (б/н)	79 иад, 18 раэ	402 миб, 3, 9, 20 мпмб, 60 осб
1941-09-01	НДФ	ДФ		Особый ск (79 сд, 101 гсд, Сахалинская сбр), 103, 104 УР	181, 372 гап РВГК; 5 бригада ПВО, 6 бригадный район ПВО, Камчатский, Сахалинский участки ПВО		29 иад, 53 бад, 5 сабр, 139 бап, 71 сап, 168 рап	26 оиб, 101 миб
