016	1942-02-01	ДА	ВолФ	52 армия	2 гв.
016	1942-02-01	ДА	ВолФ	52 армия	513 иап
016	1942-02-01	ДА	ВолФ	52 армия	4 оиб
016	1942-02-01	ДА	ВолФ	52 армия	770 оиб
017	1942-02-01	ДА	ВолФ	59 армия
017	1942-02-01	ДА	ВолФ	59 армия	374 сд
017	1942-02-01	ДА	ВолФ	59 армия	1244 сп
017	1942-02-01	ДА	ВолФ	59 армия	172 гап
017	1942-02-01	ДА	ВолФ	59 армия	827 гап
017	1942-02-01	ДА	ВолФ	59 армия	70 ап
017	1942-02-01	ДА	ВолФ	59 армия	367 ап
017	1942-02-01	ДА	ВолФ	59 армия	216 озадн
017	1942-02-01	ДА	ВолФ	59 армия	163 отб
017	1942-02-01	ДА	ВолФ	59 армия	166 отб
017	1942-02-01	ДА	ВолФ	59 армия	2 рез. авиагруппа 
017	1942-02-01	ДА	ВолФ	59 армия	283 иап
017	1942-02-01	ДА	ВолФ	59 армия	434 иап
017	1942-02-01	ДА	ВолФ	59 армия	515 иап
017	1942-02-01	ДА	ВолФ	59 армия	520 иап
017	1942-02-01	ДА	ВолФ	59 армия	41 иап
017	1942-02-01	ДА	ВолФ	59 армия	3 оиб
017	1942-02-01	ДА	ВолФ	59 армия	1235 осб
018	1942-02-01	ДА	ВолФ	4 гв.
018	1942-02-01	ДА	ВолФ	27 кд
018	1942-02-01	ДА	ВолФ	60 гап
018	1942-02-01	ДА	ВолФ	168 гап
018	1942-02-01	ДА	ВолФ	100 
018	1942-02-01	ДА	ВолФ	168 озадн
018	1942-02-01	ДА	ВолФ	213 озадн
018	1942-02-01	ДА	ВолФ	26 оаэсб
018	1942-02-01	ДА	ВолФ	90 ад
018	1942-02-01	ДА	ВолФ	91 ад
018	1942-02-01	ДА	ВолФ	662 лбап
018	1942-02-01	ДА	ВолФ	696 лбап
018	1942-02-01	ДА	ВолФ	1769 осб
018	1942-02-01	ДА	ВолФ	159 пмб
019	1942-02-01	ДА	СЗФ
019	1942-02-01	ДА	СЗФ	11 армия
019	1942-02-01	ДА	СЗФ	11 армия	84 сд
019	1942-02-01	ДА	СЗФ	11 армия	180 сд
019	1942-02-01	ДА	СЗФ	11 армия	182 сд
019	1942-02-01	ДА	СЗФ	11 армия	188 сд
019	1942-02-01	ДА	СЗФ	11 армия	254 сд
019	1942-02-01	ДА	СЗФ	11 армия	26 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	27 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	28 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	29 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	30 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	31 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	32 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	70 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	71 олыжб
019	1942-02-01	ДА	СЗФ	11 армия	264 ап
019	1942-02-01	ДА	СЗФ	11 армия	614 ап
019	1942-02-01	ДА	СЗФ	11 армия	32 огв. мдн
019	1942-02-01	ДА	СЗФ	11 армия	46 огв. мдн
019	1942-02-01	ДА	СЗФ	11 армия	103 отб
019	1942-02-01	ДА	СЗФ	11 армия	150 отб
019	1942-02-01	ДА	СЗФ	11 армия	161 отб
019	1942-02-01	ДА	СЗФ	11 армия	57 сад
019	1942-02-01	ДА	СЗФ	11 армия	25 оиб
019	1942-02-01	ДА	СЗФ	11 армия	38 оиб
019	1942-02-01	ДА	СЗФ	11 армия	1390 осб
019	1942-02-01	ДА	СЗФ	11 армия	1391 осб
020	1942-02-01	ДА	СЗФ	34 армия
020	1942-02-01	ДА	СЗФ	34 армия	26 сд
020	1942-02-01	ДА	СЗФ	34 армия	163 сд
020	1942-02-01	ДА	СЗФ	34 армия	202 сд
020	1942-02-01	ДА	СЗФ	34 армия	241 сд
020	1942-02-01	ДА	СЗФ	34 армия	245 сд
020	1942-02-01	ДА	СЗФ	34 армия	698 ап ПТО
020	1942-02-01	ДА	СЗФ	34 армия	85 отб
020	1942-02-01	ДА	СЗФ	34 армия	8 сад
020	1942-02-01	ДА	СЗФ	34 армия	28 оиб
020	1942-02-01	ДА	СЗФ	34 армия	238 оиб
020	1942-02-01	ДА	СЗФ	34 армия	1257 осб
020	1942-02-01	ДА	СЗФ	34 армия	1259 осб
021	1942-02-01	ДА	СЗФ	1 гв. ск
021	1942-02-01	ДА	СЗФ	7 гв. сд
021	1942-02-01	ДА	СЗФ	15 сбр
021	1942-02-01	ДА	СЗФ	52 сбр
021	1942-02-01	ДА	СЗФ	203 олыжб
021	1942-02-01	ДА	СЗФ	204 олыжб
021	1942-02-01	ДА	СЗФ	205 олыжб
021	1942-02-01	ДА	СЗФ	5 истребительные отряды
021	1942-02-01	ДА	СЗФ	14 истребительные отряды
021	1942-02-01	ДА	СЗФ	15 истребительные отряды
021	1942-02-01	ДА	СЗФ	878 кап
021	1942-02-01	ДА	СЗФ	29 озадн
021	1942-02-01	ДА	СЗФ	239 озадн
021	1942-02-01	ДА	СЗФ	242 озадн
021	1942-02-01	ДА	СЗФ	246 озадн
021	1942-02-01	ДА	СЗФ	250 озадн
021	1942-02-01	ДА	СЗФ	69 тбр
021	1942-02-01	ДА	СЗФ	6 сад
021	1942-02-01	ДА	СЗФ	41 сад
021	1942-02-01	ДА	СЗФ	50 оиб
021	1942-02-01	ДА	СЗФ	67 оиб
021	1942-02-01	ДА	СЗФ	134 оиб
021	1942-02-01	ДА	СЗФ	56 пмб
021	1942-02-01	ДА	СЗФ	1316 осб
022	1942-02-01	ДА	КФ
022	1942-02-01	ДА	КФ	3 ударная армия
022	1942-02-01	ДА	КФ	3 ударная армия	23 сд
022	1942-02-01	ДА	КФ	3 ударная армия	33 сд
022	1942-02-01	ДА	КФ	3 ударная армия	257 сд
022	1942-02-01	ДА	КФ	3 ударная армия	391 сд
022	1942-02-01	ДА	КФ	3 ударная армия	27 сбр
022	1942-02-01	ДА	КФ	3 ударная армия	31 сбр
022	1942-02-01	ДА	КФ	3 ударная армия	42 сбр
022	1942-02-01	ДА	КФ	3 ударная армия	45 сбр
022	1942-02-01	ДА	КФ	3 ударная армия	54 сбр
022	1942-02-01	ДА	КФ	3 ударная армия	65 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	78 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	79 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	80 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	220 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	221 олыжб
022	1942-02-01	ДА	КФ	3 ударная армия	429 гап
022	1942-02-01	ДА	КФ	3 ударная армия	171 ап ПТО
022	1942-02-01	ДА	КФ	3 ударная армия	106 огв. мдн
022	1942-02-01	ДА	КФ	3 ударная армия	107 огв. мдн
022	1942-02-01	ДА	КФ	3 ударная армия	205 огв. мдн
022	1942-02-01	ДА	КФ	3 ударная армия	146 отб
022	1942-02-01	ДА	КФ	3 ударная армия	170 отб
022	1942-02-01	ДА	КФ	3 ударная армия	7 сад
022	1942-02-01	ДА	КФ	3 ударная армия	110 оиб
022	1942-02-01	ДА	КФ	3 ударная армия	469 осб
022	1942-02-01	ДА	КФ	3 ударная армия	690 осб
022	1942-02-01	ДА	КФ	3 ударная армия	1296 осб
